csg_id	title	author	year	publisher	link
2441	Dánta Aodhagáin Uí Rathaille	Ó Rathaille, Aodhagán	1700	(Londain: I.T.S., 1911)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2441
2426	Dánta Aodhagáin Uí Rathaille	Ó Rathaille, Aodhagán	1703	(Londain: I.T.S., 1900)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2426
2060	Dánta as Condae na Mí	Ó Neachtain, Seán	1728	(B.Á.C.: Comhartha na dTrí gCoinneal, 1940)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2060
2228	Dánta Bhriain Í Chorcráin		1601	(Má Nuad: Cuallacht Chuilm Cille, 1929)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2228
2562	Dánta Dé		1700	(B.Á.C.: O.S., Muinntir C.S. Ó Fallamháin Teo., 1928)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2562
4176	Dánta de chuid Uladh (An tUltach)	Anaithnid	1659	(Béal Feirste: Comhaltas Uladh, 1954)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4176
4163	Dánta de chuid Uladh (An tUltach)	Anaithnid	1710	(Béal Feirste: Comhaltas Uladh, 1952)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4163
4165	Dánta de chuid Uladh (An tUltach)	Anaithnid	1719	(Béal Feirste: Comhaltas Uladh, 1952)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4165
4166	Dánta de chuid Uladh (An tUltach)	Anaithnid	1719	(Béal Feirste: Comhaltas Uladh, 1952)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4166
4153	Dánta de chuid Uladh (An tUltach)	Anaithnid	1725	(Béal Feirste: Comhaltas Uladh, 1950)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4153
4164	Dánta de chuid Uladh (An tUltach)	Anaithnid	1745	(Béal Feirste: Comhaltas Uladh, 1952)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4164
4152	Dánta de chuid Uladh (An tUltach)	Anaithnid	1759	(Béal Feirste: Comhaltas Uladh, 1950)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4152
4161	Dánta de chuid Uladh (An tUltach)	Anaithnid	1771	(Béal Feirste: Comhaltas Uladh, 1951)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4161
4162	Dánta de chuid Uladh (An tUltach)	Anaithnid	1771	(Béal Feirste: Comhaltas Uladh, 1952)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4162
4182	Dánta de chuid Uladh (An tUltach)	Anaithnid	1779	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4182
4170	Dánta de chuid Uladh (An tUltach)	Anaithnid	1822	(Béal Feirste: Comhaltas Uladh, 1953)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4170
4168	Dánta de chuid Uladh (An tUltach)	Anaithnid	1830	(Béal Feirste: Comhaltas Uladh, 1953)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4168
4160	Dánta de chuid Uladh (An tUltach)	Anaithnid	1841	(Béal Feirste: Comhaltas Uladh, 1951)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4160
4174	Dánta de chuid Uladh (An tUltach)	Anaithnid	1841	(Béal Feirste: Comhaltas Uladh, 1954)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4174
4178	Dánta de chuid Uladh (An tUltach)	Anaithnid	1841	(Béal Feirste: Comhaltas Uladh, 1954)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4178
4183	Dánta de chuid Uladh (An tUltach)	Anaithnid	1841	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4183
4184	Dánta de chuid Uladh (An tUltach)	Anaithnid	1841	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4184
4187	Dánta de chuid Uladh (An tUltach)	Anaithnid	1851	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4187
4188	Dánta de chuid Uladh (An tUltach)	Anaithnid	1851	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4188
4189	Dánta de chuid Uladh (An tUltach)	Anaithnid	1851	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4189
4154	Dánta de chuid Uladh (An tUltach)	Anaithnid	1856	(Béal Feirste: Comhaltas Uladh, 1951)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4154
4156	Dánta de chuid Uladh (An tUltach)	Anaithnid	1856	(Béal Feirste: Comhaltas Uladh, 1951)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4156
4157	Dánta de chuid Uladh (An tUltach)	Anaithnid	1856	(Béal Feirste: Comhaltas Uladh, 1951)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4157
4185	Dánta de chuid Uladh (An tUltach)	Anaithnid	1859	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4185
4171	Dánta de chuid Uladh (An tUltach)	Déis, Tomás	1641	(Béal Feirste: Comhaltas Uladh, 1953)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4171
4175	Dánta de chuid Uladh (An tUltach)	Mac an Bhaird, Diarmaid	1687	(Béal Feirste: Comhaltas Uladh, 1954)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4175
4173	Dánta de chuid Uladh (An tUltach)	Mac Bionaid, Art	1850	(Béal Feirste: Comhaltas Uladh, 1953)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4173
4180	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1722	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4180
4181	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1722	(Béal Feirste: Comhaltas Uladh, 1955)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4181
4177	Dánta de chuid Uladh (An tUltach)	Mac Cuarta, Séamas Dall	1728	(Béal Feirste: Comhaltas Uladh, 1954)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4177
