csg_id	title	author	year	publisher	link
6140	Sean-fhocail. X.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6140
6149	Sean-fhocail. XI.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6149
6159	Sean-Fhocail. XII.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6159
6164	Sean-fhocail. XIII.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6164
6180	Sean-fhocail. XV.	Féach bailitheoir	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6180
562	Sean-fhocal as condae Chorcaighe	Ní fios	1899		http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=562
1766	Sean-fhocla	Cú Uladh	1914	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1766
1768	Sean-fhocla	Cú Uladh	1914	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1768
1760	Sean-fhocla I	Cú Uladh	1913	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1760
1762	Sean-fhocla II	Cú Uladh	1913	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1762
1106	Sean-Fhocla na Gaedhilge	Ua Muirgheasa, Énrí	1903	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1106
1428	Sean-Phaidreacha ó Chúige Chonnacht	Ní fios	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1428
5012	Sean-ráidhte agus Sean-ranna.	Féach bailitheoir	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5012
5018	Sean-ráidhte agus Sean-ranna.	Féach bailitheoir	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5018
5047	Sean-ráidhte agus Sean-ranna.	Féach bailitheoir	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5047
5023	Sean-ráidhte agus Sean-ranna. III.	Féach bailitheoir	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5023
5141	Sean-ráidhte.	Féach bailitheoir	1897	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5141
4989	Sean-ráidhte. Atá Coitcheann i dTír Chonaill.	Féach bailitheoir	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4989
1537	Sean-Ranna Ultacha	Mac Gréagóir, Aoidhmín	1908	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1537
1285	Sean-Scéalaidheacht	Ní fios	1905	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1285
1361	Sean-Suanán	Siubhán Pháidín Sheagháinín	1906	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1361
5844	Seanaid na nGaedheal - An Scoil Shean-Ghaedhilge.	Féach ainm cleite	1903	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5844
5813	Seanaid na nGaedheal - Cuirtear Corc sa Bhairile Feasta, a uaisle.	Féach ainm cleite	1903	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5813
5781	Seanaid na nGaedheal - Sgoil Gaedhealach.	Féach ainm cleite	1903	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5781
5794	Seanaid na nGaedheal - Sgoil Gaedhealach.	Ua Duinnín, Pádraig	1903	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5794
2265	Seanán Naomhtha. XXII.	Ua Laoghaire, An t-Athair Peadar	1904	Dominican Fathers	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2265
5478	Seanchas - A' dtéidheann ag dadaidh ar an gcinneamhaint?	Ua Ruaidhrí, Seaghán	1900	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5478
5469	Seanchas - Sgéal Taidhbhseach ar Oidhche Shamhna.	Ua Ruaidhrí, Seaghán	1900	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5469
2166	Seanchas An t-Súiligh	Údair éagsúla	1907		http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2166
681	Seanchas Gaedhealach i Musgraighe	Ní fios	1899	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=681
5479	Seanchas ó Méith Mhara - An Gearrán Neamhshaoghalta.	Féach aithriseoir	1900	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5479
5480	Seanchas Ó Méith Mhara - Tuireadh Fheidhlimidh Uí Lorcáin.	Féach ainm cleite	1900	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5480
5519	Seanchas. Bréagóir Éireann.	Féach ainm cleite	1901	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5519
5499	Seanchas. Gabha an tSoic.	Ní fios	1901	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5499
4466	Seanchus air anmannaibh Gaedheilge Áiteadh agus air a m-bunadhas. An Dara h-Alt.	Flemming, John - Seághan Pléimion	1884	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4466
4345	Seanchus air anmannaibh Gaedhilge áiteadh, agus air a m-bunadhas.	Flemming, John - Seághan Pléimion	1883	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4345
4868	Seanchus ar Shean-Léigheann na Gaedhilge.	Ní fios	1895	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4868
6340	Seanchus Grinn na Tuaithe. I - Ar Muin na Muice.	Ó Conchubhair, Micheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6340
6351	Seanchus Grinn na Tuaithe. II - Toradh an Óil.	Ó Conchubhair, Micheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6351
6360	Seanchus Grinn na Tuaithe. III - An Peata.	Ó Conchubhair, Micheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6360
6371	Seanchus Grinn na Tuaithe. IV. - Donnchadh an Daingin.	Ó Conchubhair, Mícheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6371
6454	Seanchus Grinn na Tuaithe. IX. - Bás agus Aiséirghe an Rianaigh.	Ó Conchubhair, Micheál	1909	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6454
6381	Seanchus Grinn na Tuaithe. V - Leigheas Chonchubhair Óig.	Ó Conchubhair, Mícheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6381
6389	Seanchus Grinn na Tuaithe. VI - Cionnus mar ghoideadh an gé.	Ó Conchubhair, Mícheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6389
6408	"Seanchus Grinn na Tuaithe. VII - Muiris Ó Murchadha agus an ""SIGNUM."""	Ó Conchubhair, Mícheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6408
6416	Seanchus Grinn na Tuaithe. VIII - An Bhean Feasa.	Ó Conchubhair, Mícheál	1908	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6416
6466	Seanchus Grinn na Tuaithe. X - An Cleamhnas.	Ó Conchubhair, Micheál	1909	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6466
